startup_name,sector,sub_vertical,city,investor,round_type,funding_usd,deal_date,sector_clean,sector_final,sector_confidence,reclassification_layer,original_sector
HomeMart,AgriTech,Supply Chain,Kolkata,"Kedaara Capital, Lightspeed India",Pre-Series A,643000,13-07-2023,Agritech,Agritech,medium,regex,AgriTech
NimbusLabs,HealthTech,Telemedicine,Mumbai,Bessemer Venture Partners,Series C,45633000,24-03-2021,Healthtech,Healthtech,medium,regex,HealthTech
SmartMart_37,EdTech,Test Prep,Kolkata,"A91 Partners, Falcon Edge, SoftBank Vision Fund",Seed,72000,09-08-2022,Edtech,Edtech,medium,regex,EdTech
Ola,AgriTech,Marketplace,Noida,"Blume Ventures, Info Edge",Pre-Series A,483000,31-01-2025,Agritech,EV/Cleantech,high,name_lookup,AgriTech
FarmBox,Retail,E-Retail,Hyderabad,"Elevation Capital, Ribbit Capital",Series C,65870000,03-12-2022,Ecommerce/D2C,Ecommerce/D2C,medium,regex,Retail
Dunzo,Media,Content,Gurugram,"Accel, Nexus Venture Partners",Seed,78000,16-10-2021,Other,Ecommerce/D2C,high,name_lookup,Media
AeroHub,Media,Social,Mumbai,"Mirae Asset, Tiger Global",Pre-Series A,313000,08-11-2021,Other,Other,low,fallback,Media
QuantumDrive,Retail,Fashion,Bengaluru,"Sequoia Capital India, Y Combinator",Series D,54120000,16-04-2024,Ecommerce/D2C,Ecommerce/D2C,medium,regex,Retail
AgriFit,FoodTech,Food Delivery,Noida,"LCatterton, Mirae Asset",Series B,62216000,23-01-2023,Foodtech,Foodtech,medium,regex,FoodTech
SkillFlow,FinTech,InsurTech,Pune,"Kedaara Capital, Zodius Capital",Series B,10246000,22-06-2024,Fintech,Fintech,medium,regex,FinTech
FreshSolutions,Mobility,Ride Sharing,Chennai,Accel,Series A,6014000,19-09-2023,EV/Cleantech,EV/Cleantech,medium,regex,Mobility
DriveLoop,Consumer Electronics,Audio,Bengaluru,Info Edge,Seed,158000,01-11-2021,Other,Other,low,fallback,Consumer Electronics
BlueSpace,FoodTech,Food Delivery,Chennai,"A91 Partners, Sequoia Capital India",Seed,341000,16-06-2020,Foodtech,Foodtech,medium,regex,FoodTech
NextFlow,E-commerce,Quick Commerce,Bengaluru,Ribbit Capital,Bridge,376000,12-02-2021,Ecommerce/D2C,Ecommerce/D2C,medium,regex,E-commerce
MediWorks,RealEstate,PropTech,Ahmedabad,"Matrix Partners India, Omidyar Network, Y Combinator",Bridge,99000,10-08-2022,Proptech,Proptech,medium,regex,RealEstate
Porter,Retail,E-Retail,Hyderabad,A91 Partners,Seed,1788000,22-02-2020,Ecommerce/D2C,Logistics,high,name_lookup,Retail
UrbanSolutions,Media,Social,Mumbai,"Elevation Capital, Kedaara Capital, Matrix Partners India",Series A,8159000,28-08-2024,Other,Other,low,fallback,Media
Housejoy,Retail,Fashion,Bengaluru,"Falcon Edge, SoftBank Vision Fund, Y Combinator",Seed,1600000,27-05-2022,Ecommerce/D2C,Ecommerce/D2C,medium,regex,Retail
QuantumDrive,E-commerce,Fashion,Pune,"Info Edge, Kedaara Capital",Series B,59765000,24-08-2024,Ecommerce/D2C,Ecommerce/D2C,medium,regex,E-commerce
SkillFlow,Mobility,EV,Kolkata,"IFC, Matrix Partners India",Series A,5049000,06-02-2024,EV/Cleantech,EV/Cleantech,medium,regex,Mobility
Unacademy,Logistics,Supply Chain,Gurugram,"Prosus Ventures, SoftBank Vision Fund",Series C,242794000,13-03-2023,Logistics,Edtech,high,name_lookup,Logistics
NimbusLabs,HealthTech,Health Analytics,Gurugram,Elevation Capital,Pre-Series A,123000,13-06-2021,Healthtech,Healthtech,medium,regex,HealthTech
SkillSolutions,Mobility,Ride Sharing,Mumbai,"A91 Partners, Matrix Partners India",Seed,103000,12-04-2022,EV/Cleantech,EV/Cleantech,medium,regex,Mobility
FarmBox,Consumer Electronics,Wearables,Bengaluru,"Elevation Capital, Prosus Ventures",Seed,59000,29-03-2021,Other,Deeptech,medium,regex,Consumer Electronics
Nykaa,Consumer Electronics,Smart Home,Noida,"Kedaara Capital, SoftBank Vision Fund",Seed,166000,07-03-2024,Other,Ecommerce/D2C,high,name_lookup,Consumer Electronics
SkillFlow,EdTech,Test Prep,Gurugram,"Peak XV, Prosus Ventures",Seed,210000,01-03-2024,Edtech,Edtech,medium,regex,EdTech
CloudLabs,Consumer Electronics,Wearables,Ahmedabad,"Accel, Elevation Capital",Bridge,136000,10-12-2022,Other,Other,low,fallback,Consumer Electronics
CloudLabs,SaaS,DevTools,Hyderabad,Elevation Capital,Pre-Seed,135000,29-12-2022,SaaS/Enterprise,SaaS/Enterprise,medium,regex,SaaS
Udaan,Mobility,EV,Delhi,"Accel, Sequoia Capital India",Series B,13444000,21-03-2024,EV/Cleantech,Ecommerce/D2C,high,name_lookup,Mobility
HealthAnalytics,Consumer Electronics,Wearables,Delhi,"Accel, Tiger Global",Bridge,141000,01-06-2021,Other,Healthtech,medium,regex,Consumer Electronics
NeoLabs_65,RealEstate,Rental Tech,Bengaluru,"Accel, Peak XV",Seed,370000,19-07-2024,Proptech,Proptech,medium,regex,RealEstate
LogiMart,Retail,Grocery,Ahmedabad,Bessemer Venture Partners,Series A,1465000,20-06-2023,Ecommerce/D2C,Ecommerce/D2C,medium,regex,Retail
QuantumAnalytics,Consumer Electronics,Wearables,Ahmedabad,"Omidyar Network, Ribbit Capital",Debt,14625000,17-09-2021,Other,Agritech,low,investor,Consumer Electronics
Practo,Retail,E-Retail,Gurugram,Matrix Partners India,Seed,66000,15-06-2020,Ecommerce/D2C,Healthtech,high,name_lookup,Retail
Dunzo,HealthTech,Telemedicine,Chennai,"Elevation Capital, Matrix Partners India",Series A,14477000,01-05-2023,Healthtech,Ecommerce/D2C,high,name_lookup,HealthTech
HealthAnalytics,Consumer Electronics,Audio,Gurugram,"Bessemer Venture Partners, Lightspeed India, Omidyar Network",Angel,51000,01-06-2024,Other,Healthtech,medium,regex,Consumer Electronics
Porter,Mobility,Ride Sharing,Delhi,Tiger Global,Angel,9000,19-08-2024,EV/Cleantech,Logistics,high,name_lookup,Mobility
Dream11,Retail,Grocery,Ahmedabad,Info Edge,Series B,5077000,11-03-2023,Ecommerce/D2C,Other,high,name_lookup,Retail
InMobi,Media,Content,Chennai,"Accel, Mirae Asset",Bridge,1012000,21-10-2022,Other,Other,high,name_lookup,Media
Razorpay,FoodTech,Grocery,Pune,Lightspeed India,Series A,6782000,22-02-2020,Foodtech,Fintech,high,name_lookup,FoodTech
DataAnalytics,RealEstate,Home Services,Ahmedabad,Mirae Asset,Pre-Seed,107000,28-03-2024,Proptech,Proptech,medium,regex,RealEstate
Ola,Logistics,Last Mile,Ahmedabad,"Mirae Asset, Tiger Global Management",Series A,8074000,25-07-2024,Logistics,EV/Cleantech,high,name_lookup,Logistics
Freshworks,SaaS,HRTech,Mumbai,"Elevation Capital, Kedaara Capital",Series D,59295000,06-11-2021,SaaS/Enterprise,SaaS/Enterprise,high,name_lookup,SaaS
FoodFit,Mobility,Ride Sharing,Kolkata,Nexus Venture Partners,Seed,188000,31-05-2021,EV/Cleantech,EV/Cleantech,medium,regex,Mobility
CoreConnect,Enterprise,Analytics,Noida,Falcon Edge,Series A,1369000,21-04-2020,SaaS/Enterprise,SaaS/Enterprise,medium,regex,Enterprise
Chargebee,RealEstate,Home Services,Bengaluru,Peak XV,Seed,1207000,29-01-2023,Proptech,SaaS/Enterprise,high,name_lookup,RealEstate
Dailyhunt,Media,Content,Mumbai,"Bessemer Venture Partners, Kedaara Capital",Pre-Seed,84000,14-07-2023,Other,Other,high,name_lookup,Media
FreshTech,Mobility,EV,Mumbai,Info Edge,Seed,169000,19-09-2024,EV/Cleantech,EV/Cleantech,medium,regex,Mobility
Housejoy,RealEstate,PropTech,Kolkata,"Kalaari Capital, Kedaara Capital",Angel,6000,20-08-2021,Proptech,Proptech,medium,regex,RealEstate
AgriHive,EdTech,Coding Bootcamp,Noida,"Falcon Edge, IFC",Seed,157000,25-01-2021,Edtech,Edtech,medium,regex,EdTech
CRED,Logistics,Supply Chain,Pune,Zodius Capital,Angel,13000,05-11-2022,Logistics,Fintech,high,name_lookup,Logistics
HealthAnalytics,Enterprise,Automation,Ahmedabad,Info Edge,Debt,9315000,29-09-2022,SaaS/Enterprise,SaaS/Enterprise,medium,regex,Enterprise
AgriHive,Mobility,Micro Mobility,Chennai,Tiger Global Management,Series A,5621000,21-10-2021,EV/Cleantech,EV/Cleantech,medium,regex,Mobility
MediWorks,EdTech,Coding Bootcamp,Bengaluru,"LCatterton, Tiger Global Management, Y Combinator",Seed,1319000,26-08-2022,Edtech,Edtech,medium,regex,EdTech
WorkPay,FinTech,Lending,Noida,IFC,Bridge,285000,10-11-2021,Fintech,Fintech,medium,regex,FinTech
Dailyhunt,E-commerce,Grocery,Kolkata,"IFC, Tiger Global Management",Pre-Seed,26000,22-10-2020,Ecommerce/D2C,Other,high,name_lookup,E-commerce
Dunzo,Consumer Electronics,Wearables,Pune,"Accel, Prosus Ventures, SoftBank Vision Fund",Series A,6900000,25-03-2022,Other,Ecommerce/D2C,high,name_lookup,Consumer Electronics
QuantumAnalytics,RealEstate,Rental Tech,Kolkata,"Ribbit Capital, Tiger Global",Growth,372329000,14-03-2020,Proptech,Proptech,medium,regex,RealEstate
SmartTech,Media,Social,Chennai,"Accel, Blume Ventures, Kedaara Capital",Bridge,396000,06-04-2024,Other,Deeptech,medium,regex,Media
Delhivery,FinTech,Payments,Pune,Y Combinator,Series C,161346000,23-08-2021,Fintech,Logistics,high,name_lookup,FinTech
GreenConnect,FoodTech,Grocery,Delhi,"IFC, Ribbit Capital",Seed,309000,10-06-2020,Foodtech,Foodtech,medium,regex,FoodTech
MediWorks,AgriTech,Supply Chain,Gurugram,"Matrix Partners India, Sequoia Capital India",Series A,4119000,04-06-2021,Agritech,Agritech,medium,regex,AgriTech
InMobi,Logistics,Fleet Management,Noida,Tiger Global Management,Seed,242000,23-06-2022,Logistics,Other,high,name_lookup,Logistics
Delhivery,RealEstate,Home Services,Hyderabad,Tiger Global Management,Series A,1071000,10-09-2021,Proptech,Logistics,high,name_lookup,RealEstate
AgriHive,FoodTech,Grocery,Pune,Sequoia Capital India,Series A,1339000,03-12-2023,Foodtech,Foodtech,medium,regex,FoodTech
AutoMart,AgriTech,Marketplace,Bengaluru,"LCatterton, Zodius Capital",Angel,5000,06-03-2024,Agritech,Agritech,medium,regex,AgriTech
HomeFoods,SaaS,DevTools,Gurugram,"Nexus Venture Partners, Prosus Ventures, Ventures India",Series A,5604000,20-10-2023,SaaS/Enterprise,SaaS/Enterprise,medium,regex,SaaS
Wakefit,RealEstate,Rental Tech,Bengaluru,Omidyar Network,Seed,159000,21-06-2022,Proptech,Ecommerce/D2C,high,name_lookup,RealEstate
LogiSense,Logistics,Supply Chain,Chennai,"IFC, Y Combinator",Seed,326000,27-09-2020,Logistics,Logistics,medium,regex,Logistics
AeroAnalytics,Enterprise,Analytics,Hyderabad,"Elevation Capital, Tiger Global Management",Angel,76000,17-04-2025,SaaS/Enterprise,SaaS/Enterprise,medium,regex,Enterprise
BlueSpace,Consumer Electronics,Audio,Delhi,"Kedaara Capital, Tiger Global Management",Series C,39284000,07-04-2021,Other,Other,low,fallback,Consumer Electronics
Mobikwik,E-commerce,Fashion,Bengaluru,"Ventures India, Y Combinator",Seed,227000,10-09-2020,Ecommerce/D2C,Fintech,high,name_lookup,E-commerce
CureFit,AgriTech,Smart Farming,Pune,"IFC, Sequoia Capital India",Seed,812000,23-04-2021,Agritech,Healthtech,high,name_lookup,AgriTech
NeoSense,EdTech,Test Prep,Kolkata,"Kalaari Capital, Nexus Venture Partners, Peak XV",Angel,10000,10-09-2021,Edtech,Edtech,medium,regex,EdTech
Oyo,Consumer Electronics,Audio,Mumbai,Kalaari Capital,Seed,66000,05-01-2023,Other,Proptech,high,name_lookup,Consumer Electronics
Nykaa,RealEstate,Rental Tech,Noida,"Accel, Blume Ventures, Kalaari Capital",Pre-Series A,195000,29-02-2024,Proptech,Ecommerce/D2C,high,name_lookup,RealEstate
NeoLabs,Logistics,Last Mile,Pune,IFC,Seed,91000,29-06-2022,Logistics,Logistics,medium,regex,Logistics
Practo,RealEstate,Home Services,Noida,Tiger Global,Angel,81000,13-08-2023,Proptech,Healthtech,high,name_lookup,RealEstate
SkillSolutions,E-commerce,Fashion,Mumbai,"Bessemer Venture Partners, Omidyar Network, Sequoia Capital India",Series B,46994000,07-08-2023,Ecommerce/D2C,Ecommerce/D2C,medium,regex,E-commerce
HomeMart,Retail,Fashion,Gurugram,Lightspeed India,Seed,517000,16-04-2024,Ecommerce/D2C,Ecommerce/D2C,medium,regex,Retail
PharmEasy,SaaS,DevTools,Ahmedabad,Tiger Global Management,Pre-Seed,149000,24-10-2024,SaaS/Enterprise,Healthtech,high,name_lookup,SaaS
AutoStack,E-commerce,Quick Commerce,Delhi,Omidyar Network,Pre-Seed,127000,05-06-2024,Ecommerce/D2C,Ecommerce/D2C,medium,regex,E-commerce
PhonePe,HealthTech,Pharmacy,Bengaluru,"Accel, Tiger Global",Seed,100000,12-05-2022,Healthtech,Fintech,high,name_lookup,HealthTech
EduMart,Mobility,Micro Mobility,Mumbai,"Bessemer Venture Partners, Tiger Global",Series A,11213000,29-03-2021,EV/Cleantech,EV/Cleantech,medium,regex,Mobility
Oyo,Consumer Electronics,Smart Home,Bengaluru,"Accel, Info Edge",Seed,366000,07-09-2022,Other,Proptech,high,name_lookup,Consumer Electronics
Ola,E-commerce,Quick Commerce,Pune,Elevation Capital,Series A,8905000,14-05-2020,Ecommerce/D2C,EV/Cleantech,high,name_lookup,E-commerce
NeoSense,AgriTech,Marketplace,Hyderabad,"Accel, Kedaara Capital",Series A,11321000,24-05-2023,Agritech,Agritech,medium,regex,AgriTech
GreenEdge,EdTech,Coding Bootcamp,Pune,"Kedaara Capital, SoftBank Vision Fund",Series C,47319000,27-03-2022,Edtech,Edtech,medium,regex,EdTech
HyperLabs,SaaS,DevTools,Kolkata,Accel,Seed,75000,30-08-2024,SaaS/Enterprise,SaaS/Enterprise,medium,regex,SaaS
Wakefit,Media,Streaming,Pune,Omidyar Network,Series C,37077000,13-02-2023,Other,Ecommerce/D2C,high,name_lookup,Media
FreshBox,FoodTech,Food Delivery,Chennai,Tiger Global Management,Growth,154344000,16-01-2024,Foodtech,Foodtech,medium,regex,FoodTech
FreshTech,AgriTech,Marketplace,Gurugram,IFC,Seed,1022000,14-09-2022,Agritech,Agritech,medium,regex,AgriTech
NextFlow,SaaS,B2B SaaS,Hyderabad,"Tiger Global Management, Zodius Capital",Series A,10287000,11-07-2024,SaaS/Enterprise,SaaS/Enterprise,medium,regex,SaaS
GrowthFlow,RealEstate,Rental Tech,Hyderabad,"LCatterton, Ventures India, Y Combinator",Pre-Seed,20000,13-07-2021,Proptech,Proptech,medium,regex,RealEstate
BlueTech,AgriTech,Marketplace,Chennai,"Accel, Falcon Edge, Tiger Global Management",Seed,329000,26-02-2024,Agritech,Agritech,medium,regex,AgriTech
UrbanSolutions,SaaS,DevTools,Pune,"IFC, Omidyar Network",Seed,233000,26-10-2021,SaaS/Enterprise,SaaS/Enterprise,medium,regex,SaaS
HyperLoop,AgriTech,Supply Chain,Mumbai,"Info Edge, Mirae Asset",Seed,113000,17-09-2023,Agritech,Agritech,medium,regex,AgriTech
SkillFlow,Mobility,Ride Sharing,Pune,"Mirae Asset, Prosus Ventures",Pre-Series A,132000,03-08-2021,EV/Cleantech,EV/Cleantech,medium,regex,Mobility
FarmFit,AgriTech,Supply Chain,Bengaluru,Ventures India,Seed,174000,20-04-2025,Agritech,Agritech,medium,regex,AgriTech
CloudSolutions,E-commerce,Quick Commerce,Kolkata,Y Combinator,Series B,68288000,25-12-2020,Ecommerce/D2C,Ecommerce/D2C,medium,regex,E-commerce
HomeFoods,Enterprise,Automation,Pune,"LCatterton, Sequoia Capital India, Tiger Global",Seed,165000,30-10-2024,SaaS/Enterprise,SaaS/Enterprise,medium,regex,Enterprise
HyperLabs,AgriTech,Smart Farming,Chennai,Tiger Global Management,Seed,339000,09-04-2022,Agritech,Agritech,medium,regex,AgriTech
Lenskart,Retail,Fashion,Kolkata,Accel,Series D,252342000,26-02-2025,Ecommerce/D2C,Ecommerce/D2C,high,name_lookup,Retail
AeroStack,AgriTech,Smart Farming,Noida,Ventures India,Seed,191000,17-11-2024,Agritech,Agritech,medium,regex,AgriTech
HomeAnalytics,HealthTech,Telemedicine,Noida,"Bessemer Venture Partners, Lightspeed India",Series B,73980000,22-12-2022,Healthtech,Healthtech,medium,regex,HealthTech
NextFlow,Enterprise,Automation,Delhi,Lightspeed India,Seed,1741000,26-10-2020,SaaS/Enterprise,SaaS/Enterprise,medium,regex,Enterprise
HyperLoop,RealEstate,PropTech,Delhi,"A91 Partners, Mirae Asset",Bridge,127000,10-07-2023,Proptech,Proptech,medium,regex,RealEstate
EduMart,AgriTech,Marketplace,Ahmedabad,"Info Edge, Mirae Asset, SoftBank Vision Fund",Seed,313000,11-06-2025,Agritech,Agritech,medium,regex,AgriTech
Oyo,Retail,Grocery,Ahmedabad,SoftBank Vision Fund,Seed,152000,05-11-2022,Ecommerce/D2C,Proptech,high,name_lookup,Retail
EduBox_144,SaaS,HRTech,Mumbai,Omidyar Network,Series B,11014000,24-06-2025,SaaS/Enterprise,SaaS/Enterprise,medium,regex,SaaS
ClearDekho,FoodTech,Food Delivery,Ahmedabad,"Info Edge, LCatterton, Zodius Capital",Series A,1105000,09-06-2024,Foodtech,Foodtech,medium,regex,FoodTech
FinFoods,Consumer Electronics,Smart Home,Delhi,Zodius Capital,Bridge,474000,11-07-2022,Other,Other,low,fallback,Consumer Electronics
DataHive,E-commerce,Grocery,Delhi,"Falcon Edge, Tiger Global Management",Pre-Seed,64000,20-12-2023,Ecommerce/D2C,Ecommerce/D2C,medium,regex,E-commerce
NextSense,Logistics,Supply Chain,Chennai,"Ribbit Capital, Tiger Global",Series C,22992000,22-10-2023,Logistics,Logistics,medium,regex,Logistics
WorkStack_149,E-commerce,Grocery,Chennai,"Nexus Venture Partners, Omidyar Network, Tiger Global Management",Seed,140000,22-01-2024,Ecommerce/D2C,Ecommerce/D2C,medium,regex,E-commerce
HealthRise,HealthTech,Pharmacy,Hyderabad,"Kalaari Capital, Omidyar Network, Peak XV",Bridge,1426000,01-12-2023,Healthtech,Healthtech,medium,regex,HealthTech
FreshTech,RealEstate,Home Services,Delhi,"Accel, LCatterton, Tiger Global Management",Series B,9715000,24-08-2024,Proptech,Proptech,medium,regex,RealEstate
Innovaccer,Mobility,EV,Bengaluru,SoftBank Vision Fund,Pre-Series A,140000,04-01-2021,EV/Cleantech,Healthtech,high,name_lookup,Mobility
Myntra,EdTech,K12,Delhi,Falcon Edge,Seed,304000,28-08-2021,Edtech,Ecommerce/D2C,high,name_lookup,EdTech
GrowthConnect,Retail,Fashion,Delhi,Blume Ventures,Series A,14428000,11-11-2020,Ecommerce/D2C,Ecommerce/D2C,medium,regex,Retail
Dream11,Media,Content,Bengaluru,"Elevation Capital, Info Edge, Matrix Partners India",Pre-Series A,175000,17-10-2023,Other,Other,high,name_lookup,Media
EduMart,EdTech,UpSkilling,Kolkata,Prosus Ventures,Angel,37000,01-02-2021,Edtech,Edtech,medium,regex,EdTech
Dailyhunt,Consumer Electronics,Wearables,Chennai,Zodius Capital,Series A,7866000,07-05-2022,Other,Other,high,name_lookup,Consumer Electronics
FinSense,FinTech,InsurTech,Pune,"Elevation Capital, IFC, Zodius Capital",Series A,1903000,29-07-2020,Fintech,Fintech,medium,regex,FinTech
BharatPe,Logistics,Supply Chain,Noida,Peak XV,Seed,734000,14-06-2022,Logistics,Fintech,high,name_lookup,Logistics
HomeAnalytics,SaaS,B2B SaaS,Chennai,Matrix Partners India,Seed,194000,25-10-2022,SaaS/Enterprise,SaaS/Enterprise,medium,regex,SaaS
HealthRise,FinTech,WealthTech,Mumbai,Bessemer Venture Partners,Series D,214425000,24-08-2023,Fintech,Fintech,medium,regex,FinTech
FinSense_162,Enterprise,Security,Delhi,"LCatterton, Omidyar Network",Series C,111204000,18-08-2022,SaaS/Enterprise,SaaS/Enterprise,medium,regex,Enterprise
PhonePe,Logistics,Last Mile,Delhi,"Accel, Falcon Edge",Series A,4267000,29-01-2024,Logistics,Fintech,high,name_lookup,Logistics
SmartTech,E-commerce,Quick Commerce,Gurugram,"Accel, Info Edge",Pre-Series A,123000,13-06-2024,Ecommerce/D2C,Ecommerce/D2C,medium,regex,E-commerce
Chargebee,AgriTech,Marketplace,Bengaluru,Kedaara Capital,Series B,50673000,23-03-2023,Agritech,SaaS/Enterprise,high,name_lookup,AgriTech
Cars24,FoodTech,Cloud Kitchen,Ahmedabad,"Blume Ventures, Prosus Ventures",Pre-Series A,209000,14-03-2023,Foodtech,Ecommerce/D2C,high,name_lookup,FoodTech
ShareChat,E-commerce,Grocery,Noida,"IFC, Sequoia Capital India",Series A,1657000,05-11-2022,Ecommerce/D2C,Other,high,name_lookup,E-commerce
FarmFit,SaaS,HRTech,Bengaluru,Matrix Partners India,Pre-Series A,110000,18-05-2020,SaaS/Enterprise,SaaS/Enterprise,medium,regex,SaaS
Zomato,Retail,Fashion,Pune,"Ribbit Capital, SoftBank Vision Fund",Seed,442000,22-12-2021,Ecommerce/D2C,Foodtech,high,name_lookup,Retail
SmartMart,Consumer Electronics,Smart Home,Delhi,"Bessemer Venture Partners, Elevation Capital, Info Edge",Series C,125287000,09-05-2020,Other,Deeptech,medium,regex,Consumer Electronics
FarmFit,FinTech,WealthTech,Hyderabad,"Mirae Asset, Sequoia Capital India",Series A,1046000,27-07-2024,Fintech,Fintech,medium,regex,FinTech
FinFoods,Enterprise,Analytics,Pune,Info Edge,Seed,331000,25-06-2024,SaaS/Enterprise,SaaS/Enterprise,medium,regex,Enterprise
FoodFit,FoodTech,Food Delivery,Delhi,Peak XV,Series A,1847000,15-10-2022,Foodtech,Foodtech,medium,regex,FoodTech
NextStack,Media,Content,Mumbai,A91 Partners,Series A,5738000,11-08-2024,Other,Other,low,fallback,Media
