startup_name,sector,sub_vertical,city,investor,round_type,funding_usd,deal_date,deal_year,deal_month,sector_clean,round_clean,city_clean
WorkPay,Enterprise,Security,Ahmedabad,Tiger Global,Series A,5243000,2022-05-30,2022,5,SaaS/Enterprise,Series A,Ahmedabad
Mobikwik,Retail,E-Retail,Pune,"Accel, Bessemer Venture Partners, IFC",Seed,84000,2021-05-26,2021,5,Ecommerce/D2C,Seed/Angel,Pune
Freshworks,AgriTech,Marketplace,Delhi,Tiger Global Management,Angel,12000,2021-04-29,2021,4,Agritech,Seed/Angel,Delhi/NCR
EduTech,FinTech,Lending,Pune,"IFC, Matrix Partners India, Zodius Capital",Series C,53939000,2022-04-23,2022,4,Fintech,Series C,Pune
AeroStack,FinTech,InsurTech,Gurugram,"Y Combinator, Zodius Capital",Seed,269000,2025-02-23,2025,2,Fintech,Seed/Angel,Delhi/NCR
HomeFoods,RealEstate,PropTech,Chennai,Tiger Global Management,Seed,905000,2024-11-05,2024,11,Proptech,Seed/Angel,Chennai
QuantumSolutions,Mobility,EV,Noida,IFC,Seed,104000,2020-02-26,2020,2,EV/Cleantech,Seed/Angel,Delhi/NCR
Swiggy,HealthTech,Pharmacy,Bengaluru,Kedaara Capital,Seed,333000,2022-06-08,2022,6,Healthtech,Seed/Angel,Bengaluru
HyperLabs,Mobility,Ride Sharing,Chennai,Tiger Global,Angel,29000,2021-01-24,2021,1,EV/Cleantech,Seed/Angel,Chennai
DriveEdge_29,Retail,Fashion,Gurugram,"LCatterton, Prosus Ventures, Ribbit Capital",Pre-Series A,111000,2020-05-23,2020,5,Ecommerce/D2C,Seed/Angel,Delhi/NCR
NeoTech,Logistics,Fleet Management,Hyderabad,"A91 Partners, Kedaara Capital",Series B,26948000,2021-10-30,2021,10,Logistics,Series B,Hyderabad
CloudLabs,FoodTech,Grocery,Delhi,"A91 Partners, Sequoia Capital India",Series A,1587000,2021-09-08,2021,9,Foodtech,Series A,Delhi/NCR
SmartTech,Retail,Fashion,Ahmedabad,"Info Edge, Lightspeed India",Series B,5988000,2022-08-10,2022,8,Ecommerce/D2C,Series B,Ahmedabad
FarmBox,Retail,Fashion,Delhi,"Prosus Ventures, Ribbit Capital",Series B,69429000,2021-08-04,2021,8,Ecommerce/D2C,Series B,Delhi/NCR
Bounce,Enterprise,Analytics,Hyderabad,Sequoia Capital India,Seed,1762000,2021-02-11,2021,2,SaaS/Enterprise,Seed/Angel,Hyderabad
HomeMart,AgriTech,Supply Chain,Kolkata,"Kedaara Capital, Lightspeed India",Pre-Series A,643000,2023-07-13,2023,7,Agritech,Seed/Angel,Kolkata
NimbusLabs,HealthTech,Telemedicine,Mumbai,Bessemer Venture Partners,Series C,45633000,2021-03-24,2021,3,Healthtech,Series C,Mumbai
SmartMart_37,EdTech,Test Prep,Kolkata,"A91 Partners, Falcon Edge, SoftBank Vision Fund",Seed,72000,2022-08-09,2022,8,Edtech,Seed/Angel,Kolkata
Ola,AgriTech,Marketplace,Noida,"Blume Ventures, Info Edge",Pre-Series A,483000,2025-01-31,2025,1,Agritech,Seed/Angel,Delhi/NCR
FarmBox,Retail,E-Retail,Hyderabad,"Elevation Capital, Ribbit Capital",Series C,65870000,2022-12-03,2022,12,Ecommerce/D2C,Series C,Hyderabad
Dunzo,Media,Content,Gurugram,"Accel, Nexus Venture Partners",Seed,78000,2021-10-16,2021,10,Other,Seed/Angel,Delhi/NCR
AeroHub,Media,Social,Mumbai,"Mirae Asset, Tiger Global",Pre-Series A,313000,2021-11-08,2021,11,Other,Seed/Angel,Mumbai
QuantumDrive,Retail,Fashion,Bengaluru,"Sequoia Capital India, Y Combinator",Series D,54120000,2024-04-16,2024,4,Ecommerce/D2C,Late Stage,Bengaluru
AgriFit,FoodTech,Food Delivery,Noida,"LCatterton, Mirae Asset",Series B,62216000,2023-01-23,2023,1,Foodtech,Series B,Delhi/NCR
SkillFlow,FinTech,InsurTech,Pune,"Kedaara Capital, Zodius Capital",Series B,10246000,2024-06-22,2024,6,Fintech,Series B,Pune
FreshSolutions,Mobility,Ride Sharing,Chennai,Accel,Series A,6014000,2023-09-19,2023,9,EV/Cleantech,Series A,Chennai
DriveLoop,Consumer Electronics,Audio,Bengaluru,Info Edge,Seed,158000,2021-11-01,2021,11,Other,Seed/Angel,Bengaluru
BlueSpace,FoodTech,Food Delivery,Chennai,"A91 Partners, Sequoia Capital India",Seed,341000,2020-06-16,2020,6,Foodtech,Seed/Angel,Chennai
NextFlow,E-commerce,Quick Commerce,Bengaluru,Ribbit Capital,Bridge,376000,2021-02-12,2021,2,Ecommerce/D2C,Undisclosed,Bengaluru
MediWorks,RealEstate,PropTech,Ahmedabad,"Matrix Partners India, Omidyar Network, Y Combinator",Bridge,99000,2022-08-10,2022,8,Proptech,Undisclosed,Ahmedabad
Porter,Retail,E-Retail,Hyderabad,A91 Partners,Seed,1788000,2020-02-22,2020,2,Ecommerce/D2C,Seed/Angel,Hyderabad
UrbanSolutions,Media,Social,Mumbai,"Elevation Capital, Kedaara Capital, Matrix Partners India",Series A,8159000,2024-08-28,2024,8,Other,Series A,Mumbai
Housejoy,Retail,Fashion,Bengaluru,"Falcon Edge, SoftBank Vision Fund, Y Combinator",Seed,1600000,2022-05-27,2022,5,Ecommerce/D2C,Seed/Angel,Bengaluru
QuantumDrive,E-commerce,Fashion,Pune,"Info Edge, Kedaara Capital",Series B,59765000,2024-08-24,2024,8,Ecommerce/D2C,Series B,Pune
SkillFlow,Mobility,EV,Kolkata,"IFC, Matrix Partners India",Series A,5049000,2024-02-06,2024,2,EV/Cleantech,Series A,Kolkata
Unacademy,Logistics,Supply Chain,Gurugram,"Prosus Ventures, SoftBank Vision Fund",Series C,242794000,2023-03-13,2023,3,Logistics,Series C,Delhi/NCR
NimbusLabs,HealthTech,Health Analytics,Gurugram,Elevation Capital,Pre-Series A,123000,2021-06-13,2021,6,Healthtech,Seed/Angel,Delhi/NCR
SkillSolutions,Mobility,Ride Sharing,Mumbai,"A91 Partners, Matrix Partners India",Seed,103000,2022-04-12,2022,4,EV/Cleantech,Seed/Angel,Mumbai
FarmBox,Consumer Electronics,Wearables,Bengaluru,"Elevation Capital, Prosus Ventures",Seed,59000,2021-03-29,2021,3,Other,Seed/Angel,Bengaluru
Nykaa,Consumer Electronics,Smart Home,Noida,"Kedaara Capital, SoftBank Vision Fund",Seed,166000,2024-03-07,2024,3,Other,Seed/Angel,Delhi/NCR
SkillFlow,EdTech,Test Prep,Gurugram,"Peak XV, Prosus Ventures",Seed,210000,2024-03-01,2024,3,Edtech,Seed/Angel,Delhi/NCR
CloudLabs,Consumer Electronics,Wearables,Ahmedabad,"Accel, Elevation Capital",Bridge,136000,2022-12-10,2022,12,Other,Undisclosed,Ahmedabad
CloudLabs,SaaS,DevTools,Hyderabad,Elevation Capital,Pre-Seed,135000,2022-12-29,2022,12,SaaS/Enterprise,Seed/Angel,Hyderabad
Udaan,Mobility,EV,Delhi,"Accel, Sequoia Capital India",Series B,13444000,2024-03-21,2024,3,EV/Cleantech,Series B,Delhi/NCR
HealthAnalytics,Consumer Electronics,Wearables,Delhi,"Accel, Tiger Global",Bridge,141000,2021-06-01,2021,6,Other,Undisclosed,Delhi/NCR
NeoLabs_65,RealEstate,Rental Tech,Bengaluru,"Accel, Peak XV",Seed,370000,2024-07-19,2024,7,Proptech,Seed/Angel,Bengaluru
LogiMart,Retail,Grocery,Ahmedabad,Bessemer Venture Partners,Series A,1465000,2023-06-20,2023,6,Ecommerce/D2C,Series A,Ahmedabad
QuantumAnalytics,Consumer Electronics,Wearables,Ahmedabad,"Omidyar Network, Ribbit Capital",Debt,14625000,2021-09-17,2021,9,Other,Debt,Ahmedabad
Practo,Retail,E-Retail,Gurugram,Matrix Partners India,Seed,66000,2020-06-15,2020,6,Ecommerce/D2C,Seed/Angel,Delhi/NCR
Dunzo,HealthTech,Telemedicine,Chennai,"Elevation Capital, Matrix Partners India",Series A,14477000,2023-05-01,2023,5,Healthtech,Series A,Chennai
HealthAnalytics,Consumer Electronics,Audio,Gurugram,"Bessemer Venture Partners, Lightspeed India, Omidyar Network",Angel,51000,2024-06-01,2024,6,Other,Seed/Angel,Delhi/NCR
Porter,Mobility,Ride Sharing,Delhi,Tiger Global,Angel,9000,2024-08-19,2024,8,EV/Cleantech,Seed/Angel,Delhi/NCR
Dream11,Retail,Grocery,Ahmedabad,Info Edge,Series B,5077000,2023-03-11,2023,3,Ecommerce/D2C,Series B,Ahmedabad
InMobi,Media,Content,Chennai,"Accel, Mirae Asset",Bridge,1012000,2022-10-21,2022,10,Other,Undisclosed,Chennai
Razorpay,FoodTech,Grocery,Pune,Lightspeed India,Series A,6782000,2020-02-22,2020,2,Foodtech,Series A,Pune
DataAnalytics,RealEstate,Home Services,Ahmedabad,Mirae Asset,Pre-Seed,107000,2024-03-28,2024,3,Proptech,Seed/Angel,Ahmedabad
Ola,Logistics,Last Mile,Ahmedabad,"Mirae Asset, Tiger Global Management",Series A,8074000,2024-07-25,2024,7,Logistics,Series A,Ahmedabad
Freshworks,SaaS,HRTech,Mumbai,"Elevation Capital, Kedaara Capital",Series D,59295000,2021-11-06,2021,11,SaaS/Enterprise,Late Stage,Mumbai
FoodFit,Mobility,Ride Sharing,Kolkata,Nexus Venture Partners,Seed,188000,2021-05-31,2021,5,EV/Cleantech,Seed/Angel,Kolkata
CoreConnect,Enterprise,Analytics,Noida,Falcon Edge,Series A,1369000,2020-04-21,2020,4,SaaS/Enterprise,Series A,Delhi/NCR
Chargebee,RealEstate,Home Services,Bengaluru,Peak XV,Seed,1207000,2023-01-29,2023,1,Proptech,Seed/Angel,Bengaluru
Dailyhunt,Media,Content,Mumbai,"Bessemer Venture Partners, Kedaara Capital",Pre-Seed,84000,2023-07-14,2023,7,Other,Seed/Angel,Mumbai
FreshTech,Mobility,EV,Mumbai,Info Edge,Seed,169000,2024-09-19,2024,9,EV/Cleantech,Seed/Angel,Mumbai
Housejoy,RealEstate,PropTech,Kolkata,"Kalaari Capital, Kedaara Capital",Angel,6000,2021-08-20,2021,8,Proptech,Seed/Angel,Kolkata
AgriHive,EdTech,Coding Bootcamp,Noida,"Falcon Edge, IFC",Seed,157000,2021-01-25,2021,1,Edtech,Seed/Angel,Delhi/NCR
CRED,Logistics,Supply Chain,Pune,Zodius Capital,Angel,13000,2022-11-05,2022,11,Logistics,Seed/Angel,Pune
HealthAnalytics,Enterprise,Automation,Ahmedabad,Info Edge,Debt,9315000,2022-09-29,2022,9,SaaS/Enterprise,Debt,Ahmedabad
AgriHive,Mobility,Micro Mobility,Chennai,Tiger Global Management,Series A,5621000,2021-10-21,2021,10,EV/Cleantech,Series A,Chennai
MediWorks,EdTech,Coding Bootcamp,Bengaluru,"LCatterton, Tiger Global Management, Y Combinator",Seed,1319000,2022-08-26,2022,8,Edtech,Seed/Angel,Bengaluru
WorkPay,FinTech,Lending,Noida,IFC,Bridge,285000,2021-11-10,2021,11,Fintech,Undisclosed,Delhi/NCR
Dailyhunt,E-commerce,Grocery,Kolkata,"IFC, Tiger Global Management",Pre-Seed,26000,2020-10-22,2020,10,Ecommerce/D2C,Seed/Angel,Kolkata
Dunzo,Consumer Electronics,Wearables,Pune,"Accel, Prosus Ventures, SoftBank Vision Fund",Series A,6900000,2022-03-25,2022,3,Other,Series A,Pune
QuantumAnalytics,RealEstate,Rental Tech,Kolkata,"Ribbit Capital, Tiger Global",Growth,372329000,2020-03-14,2020,3,Proptech,Late Stage,Kolkata
SmartTech,Media,Social,Chennai,"Accel, Blume Ventures, Kedaara Capital",Bridge,396000,2024-04-06,2024,4,Other,Undisclosed,Chennai
Delhivery,FinTech,Payments,Pune,Y Combinator,Series C,161346000,2021-08-23,2021,8,Fintech,Series C,Pune
GreenConnect,FoodTech,Grocery,Delhi,"IFC, Ribbit Capital",Seed,309000,2020-06-10,2020,6,Foodtech,Seed/Angel,Delhi/NCR
MediWorks,AgriTech,Supply Chain,Gurugram,"Matrix Partners India, Sequoia Capital India",Series A,4119000,2021-06-04,2021,6,Agritech,Series A,Delhi/NCR
InMobi,Logistics,Fleet Management,Noida,Tiger Global Management,Seed,242000,2022-06-23,2022,6,Logistics,Seed/Angel,Delhi/NCR
Delhivery,RealEstate,Home Services,Hyderabad,Tiger Global Management,Series A,1071000,2021-09-10,2021,9,Proptech,Series A,Hyderabad
AgriHive,FoodTech,Grocery,Pune,Sequoia Capital India,Series A,1339000,2023-12-03,2023,12,Foodtech,Series A,Pune
AutoMart,AgriTech,Marketplace,Bengaluru,"LCatterton, Zodius Capital",Angel,5000,2024-03-06,2024,3,Agritech,Seed/Angel,Bengaluru
HomeFoods,SaaS,DevTools,Gurugram,"Nexus Venture Partners, Prosus Ventures, Ventures India",Series A,5604000,2023-10-20,2023,10,SaaS/Enterprise,Series A,Delhi/NCR
Wakefit,RealEstate,Rental Tech,Bengaluru,Omidyar Network,Seed,159000,2022-06-21,2022,6,Proptech,Seed/Angel,Bengaluru
LogiSense,Logistics,Supply Chain,Chennai,"IFC, Y Combinator",Seed,326000,2020-09-27,2020,9,Logistics,Seed/Angel,Chennai
AeroAnalytics,Enterprise,Analytics,Hyderabad,"Elevation Capital, Tiger Global Management",Angel,76000,2025-04-17,2025,4,SaaS/Enterprise,Seed/Angel,Hyderabad
BlueSpace,Consumer Electronics,Audio,Delhi,"Kedaara Capital, Tiger Global Management",Series C,39284000,2021-04-07,2021,4,Other,Series C,Delhi/NCR
Mobikwik,E-commerce,Fashion,Bengaluru,"Ventures India, Y Combinator",Seed,227000,2020-09-10,2020,9,Ecommerce/D2C,Seed/Angel,Bengaluru
CureFit,AgriTech,Smart Farming,Pune,"IFC, Sequoia Capital India",Seed,812000,2021-04-23,2021,4,Agritech,Seed/Angel,Pune
NeoSense,EdTech,Test Prep,Kolkata,"Kalaari Capital, Nexus Venture Partners, Peak XV",Angel,10000,2021-09-10,2021,9,Edtech,Seed/Angel,Kolkata
Oyo,Consumer Electronics,Audio,Mumbai,Kalaari Capital,Seed,66000,2023-01-05,2023,1,Other,Seed/Angel,Mumbai
Nykaa,RealEstate,Rental Tech,Noida,"Accel, Blume Ventures, Kalaari Capital",Pre-Series A,195000,2024-02-29,2024,2,Proptech,Seed/Angel,Delhi/NCR
NeoLabs,Logistics,Last Mile,Pune,IFC,Seed,91000,2022-06-29,2022,6,Logistics,Seed/Angel,Pune
Practo,RealEstate,Home Services,Noida,Tiger Global,Angel,81000,2023-08-13,2023,8,Proptech,Seed/Angel,Delhi/NCR
SkillSolutions,E-commerce,Fashion,Mumbai,"Bessemer Venture Partners, Omidyar Network, Sequoia Capital India",Series B,46994000,2023-08-07,2023,8,Ecommerce/D2C,Series B,Mumbai
HomeMart,Retail,Fashion,Gurugram,Lightspeed India,Seed,517000,2024-04-16,2024,4,Ecommerce/D2C,Seed/Angel,Delhi/NCR
PharmEasy,SaaS,DevTools,Ahmedabad,Tiger Global Management,Pre-Seed,149000,2024-10-24,2024,10,SaaS/Enterprise,Seed/Angel,Ahmedabad
AutoStack,E-commerce,Quick Commerce,Delhi,Omidyar Network,Pre-Seed,127000,2024-06-05,2024,6,Ecommerce/D2C,Seed/Angel,Delhi/NCR
PhonePe,HealthTech,Pharmacy,Bengaluru,"Accel, Tiger Global",Seed,100000,2022-05-12,2022,5,Healthtech,Seed/Angel,Bengaluru
EduMart,Mobility,Micro Mobility,Mumbai,"Bessemer Venture Partners, Tiger Global",Series A,11213000,2021-03-29,2021,3,EV/Cleantech,Series A,Mumbai
Oyo,Consumer Electronics,Smart Home,Bengaluru,"Accel, Info Edge",Seed,366000,2022-09-07,2022,9,Other,Seed/Angel,Bengaluru
Ola,E-commerce,Quick Commerce,Pune,Elevation Capital,Series A,8905000,2020-05-14,2020,5,Ecommerce/D2C,Series A,Pune
NeoSense,AgriTech,Marketplace,Hyderabad,"Accel, Kedaara Capital",Series A,11321000,2023-05-24,2023,5,Agritech,Series A,Hyderabad
GreenEdge,EdTech,Coding Bootcamp,Pune,"Kedaara Capital, SoftBank Vision Fund",Series C,47319000,2022-03-27,2022,3,Edtech,Series C,Pune
HyperLabs,SaaS,DevTools,Kolkata,Accel,Seed,75000,2024-08-30,2024,8,SaaS/Enterprise,Seed/Angel,Kolkata
Wakefit,Media,Streaming,Pune,Omidyar Network,Series C,37077000,2023-02-13,2023,2,Other,Series C,Pune
FreshBox,FoodTech,Food Delivery,Chennai,Tiger Global Management,Growth,154344000,2024-01-16,2024,1,Foodtech,Late Stage,Chennai
FreshTech,AgriTech,Marketplace,Gurugram,IFC,Seed,1022000,2022-09-14,2022,9,Agritech,Seed/Angel,Delhi/NCR
NextFlow,SaaS,B2B SaaS,Hyderabad,"Tiger Global Management, Zodius Capital",Series A,10287000,2024-07-11,2024,7,SaaS/Enterprise,Series A,Hyderabad
GrowthFlow,RealEstate,Rental Tech,Hyderabad,"LCatterton, Ventures India, Y Combinator",Pre-Seed,20000,2021-07-13,2021,7,Proptech,Seed/Angel,Hyderabad
BlueTech,AgriTech,Marketplace,Chennai,"Accel, Falcon Edge, Tiger Global Management",Seed,329000,2024-02-26,2024,2,Agritech,Seed/Angel,Chennai
UrbanSolutions,SaaS,DevTools,Pune,"IFC, Omidyar Network",Seed,233000,2021-10-26,2021,10,SaaS/Enterprise,Seed/Angel,Pune
HyperLoop,AgriTech,Supply Chain,Mumbai,"Info Edge, Mirae Asset",Seed,113000,2023-09-17,2023,9,Agritech,Seed/Angel,Mumbai
SkillFlow,Mobility,Ride Sharing,Pune,"Mirae Asset, Prosus Ventures",Pre-Series A,132000,2021-08-03,2021,8,EV/Cleantech,Seed/Angel,Pune
FarmFit,AgriTech,Supply Chain,Bengaluru,Ventures India,Seed,174000,2025-04-20,2025,4,Agritech,Seed/Angel,Bengaluru
CloudSolutions,E-commerce,Quick Commerce,Kolkata,Y Combinator,Series B,68288000,2020-12-25,2020,12,Ecommerce/D2C,Series B,Kolkata
HomeFoods,Enterprise,Automation,Pune,"LCatterton, Sequoia Capital India, Tiger Global",Seed,165000,2024-10-30,2024,10,SaaS/Enterprise,Seed/Angel,Pune
HyperLabs,AgriTech,Smart Farming,Chennai,Tiger Global Management,Seed,339000,2022-04-09,2022,4,Agritech,Seed/Angel,Chennai
Lenskart,Retail,Fashion,Kolkata,Accel,Series D,252342000,2025-02-26,2025,2,Ecommerce/D2C,Late Stage,Kolkata
AeroStack,AgriTech,Smart Farming,Noida,Ventures India,Seed,191000,2024-11-17,2024,11,Agritech,Seed/Angel,Delhi/NCR
HomeAnalytics,HealthTech,Telemedicine,Noida,"Bessemer Venture Partners, Lightspeed India",Series B,73980000,2022-12-22,2022,12,Healthtech,Series B,Delhi/NCR
NextFlow,Enterprise,Automation,Delhi,Lightspeed India,Seed,1741000,2020-10-26,2020,10,SaaS/Enterprise,Seed/Angel,Delhi/NCR
HyperLoop,RealEstate,PropTech,Delhi,"A91 Partners, Mirae Asset",Bridge,127000,2023-07-10,2023,7,Proptech,Undisclosed,Delhi/NCR
EduMart,AgriTech,Marketplace,Ahmedabad,"Info Edge, Mirae Asset, SoftBank Vision Fund",Seed,313000,2025-06-11,2025,6,Agritech,Seed/Angel,Ahmedabad
Oyo,Retail,Grocery,Ahmedabad,SoftBank Vision Fund,Seed,152000,2022-11-05,2022,11,Ecommerce/D2C,Seed/Angel,Ahmedabad
EduBox_144,SaaS,HRTech,Mumbai,Omidyar Network,Series B,11014000,2025-06-24,2025,6,SaaS/Enterprise,Series B,Mumbai
ClearDekho,FoodTech,Food Delivery,Ahmedabad,"Info Edge, LCatterton, Zodius Capital",Series A,1105000,2024-06-09,2024,6,Foodtech,Series A,Ahmedabad
FinFoods,Consumer Electronics,Smart Home,Delhi,Zodius Capital,Bridge,474000,2022-07-11,2022,7,Other,Undisclosed,Delhi/NCR
DataHive,E-commerce,Grocery,Delhi,"Falcon Edge, Tiger Global Management",Pre-Seed,64000,2023-12-20,2023,12,Ecommerce/D2C,Seed/Angel,Delhi/NCR
NextSense,Logistics,Supply Chain,Chennai,"Ribbit Capital, Tiger Global",Series C,22992000,2023-10-22,2023,10,Logistics,Series C,Chennai
WorkStack_149,E-commerce,Grocery,Chennai,"Nexus Venture Partners, Omidyar Network, Tiger Global Management",Seed,140000,2024-01-22,2024,1,Ecommerce/D2C,Seed/Angel,Chennai
HealthRise,HealthTech,Pharmacy,Hyderabad,"Kalaari Capital, Omidyar Network, Peak XV",Bridge,1426000,2023-12-01,2023,12,Healthtech,Undisclosed,Hyderabad
FreshTech,RealEstate,Home Services,Delhi,"Accel, LCatterton, Tiger Global Management",Series B,9715000,2024-08-24,2024,8,Proptech,Series B,Delhi/NCR
Innovaccer,Mobility,EV,Bengaluru,SoftBank Vision Fund,Pre-Series A,140000,2021-01-04,2021,1,EV/Cleantech,Seed/Angel,Bengaluru
Myntra,EdTech,K12,Delhi,Falcon Edge,Seed,304000,2021-08-28,2021,8,Edtech,Seed/Angel,Delhi/NCR
GrowthConnect,Retail,Fashion,Delhi,Blume Ventures,Series A,14428000,2020-11-11,2020,11,Ecommerce/D2C,Series A,Delhi/NCR
Dream11,Media,Content,Bengaluru,"Elevation Capital, Info Edge, Matrix Partners India",Pre-Series A,175000,2023-10-17,2023,10,Other,Seed/Angel,Bengaluru
EduMart,EdTech,UpSkilling,Kolkata,Prosus Ventures,Angel,37000,2021-02-01,2021,2,Edtech,Seed/Angel,Kolkata
Dailyhunt,Consumer Electronics,Wearables,Chennai,Zodius Capital,Series A,7866000,2022-05-07,2022,5,Other,Series A,Chennai
FinSense,FinTech,InsurTech,Pune,"Elevation Capital, IFC, Zodius Capital",Series A,1903000,2020-07-29,2020,7,Fintech,Series A,Pune
BharatPe,Logistics,Supply Chain,Noida,Peak XV,Seed,734000,2022-06-14,2022,6,Logistics,Seed/Angel,Delhi/NCR
HomeAnalytics,SaaS,B2B SaaS,Chennai,Matrix Partners India,Seed,194000,2022-10-25,2022,10,SaaS/Enterprise,Seed/Angel,Chennai
HealthRise,FinTech,WealthTech,Mumbai,Bessemer Venture Partners,Series D,214425000,2023-08-24,2023,8,Fintech,Late Stage,Mumbai
FinSense_162,Enterprise,Security,Delhi,"LCatterton, Omidyar Network",Series C,111204000,2022-08-18,2022,8,SaaS/Enterprise,Series C,Delhi/NCR
PhonePe,Logistics,Last Mile,Delhi,"Accel, Falcon Edge",Series A,4267000,2024-01-29,2024,1,Logistics,Series A,Delhi/NCR
SmartTech,E-commerce,Quick Commerce,Gurugram,"Accel, Info Edge",Pre-Series A,123000,2024-06-13,2024,6,Ecommerce/D2C,Seed/Angel,Delhi/NCR
Chargebee,AgriTech,Marketplace,Bengaluru,Kedaara Capital,Series B,50673000,2023-03-23,2023,3,Agritech,Series B,Bengaluru
Cars24,FoodTech,Cloud Kitchen,Ahmedabad,"Blume Ventures, Prosus Ventures",Pre-Series A,209000,2023-03-14,2023,3,Foodtech,Seed/Angel,Ahmedabad
ShareChat,E-commerce,Grocery,Noida,"IFC, Sequoia Capital India",Series A,1657000,2022-11-05,2022,11,Ecommerce/D2C,Series A,Delhi/NCR
FarmFit,SaaS,HRTech,Bengaluru,Matrix Partners India,Pre-Series A,110000,2020-05-18,2020,5,SaaS/Enterprise,Seed/Angel,Bengaluru
Zomato,Retail,Fashion,Pune,"Ribbit Capital, SoftBank Vision Fund",Seed,442000,2021-12-22,2021,12,Ecommerce/D2C,Seed/Angel,Pune
SmartMart,Consumer Electronics,Smart Home,Delhi,"Bessemer Venture Partners, Elevation Capital, Info Edge",Series C,125287000,2020-05-09,2020,5,Other,Series C,Delhi/NCR
FarmFit,FinTech,WealthTech,Hyderabad,"Mirae Asset, Sequoia Capital India",Series A,1046000,2024-07-27,2024,7,Fintech,Series A,Hyderabad
FinFoods,Enterprise,Analytics,Pune,Info Edge,Seed,331000,2024-06-25,2024,6,SaaS/Enterprise,Seed/Angel,Pune
FoodFit,FoodTech,Food Delivery,Delhi,Peak XV,Series A,1847000,2022-10-15,2022,10,Foodtech,Series A,Delhi/NCR
NextStack,Media,Content,Mumbai,A91 Partners,Series A,5738000,2024-08-11,2024,8,Other,Series A,Mumbai
AgriSense,SaaS,HRTech,Hyderabad,"Blume Ventures, Info Edge",Series A,1604000,2024-01-09,2024,1,SaaS/Enterprise,Series A,Hyderabad
EduMart_176,Enterprise,Security,Ahmedabad,"Peak XV, Tiger Global, Tiger Global Management",Debt,7325000,2021-07-16,2021,7,SaaS/Enterprise,Debt,Ahmedabad
